,year,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,A_MEDIAN,A_MEAN
62,2015,11-9140,"Property, Real Estate, and Community Association Managers",broad,174410,55380,68240
63,2015,11-9141,"Property, Real Estate, and Community Association Managers",detailed,174410,55380,68240
64,2015,11-9150,Social and Community Service Managers,broad,119770,63530,69430
65,2015,11-9151,Social and Community Service Managers,detailed,119770,63530,69430
66,2015,11-9160,Emergency Management Directors,broad,9840,67330,73750
67,2015,11-9161,Emergency Management Directors,detailed,9840,67330,73750
68,2015,11-9190,Miscellaneous Managers,broad,376440,104850,111230
69,2015,11-9199,"Managers, All Other",detailed,376440,104850,111230
70,2015,13-0000,Business and Financial Operations Occupations,major,7032560,65710,73800
71,2015,13-1000,Business Operations Specialists,minor,4424800,64510,70900
72,2015,13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,13230,62940,95810
73,2015,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,13230,62940,95810
74,2015,13-1020,Buyers and Purchasing Agents,broad,414900,59620,64170
75,2015,13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,12160,56270,62280
76,2015,13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,111200,52940,59270
77,2015,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,291540,62220,66120
78,2015,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,286870,63060,64350
79,2015,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,271600,62980,64300
80,2015,13-1032,"Insurance Appraisers, Auto Damage",detailed,15270,64020,65300
81,2015,13-1040,Compliance Officers,broad,257010,65640,69180
82,2015,13-1041,Compliance Officers,detailed,257010,65640,69180
83,2015,13-1050,Cost Estimators,broad,216270,60390,64810
84,2015,13-1051,Cost Estimators,detailed,216270,60390,64810
85,2015,13-1070,Human Resources Workers,broad,571640,58370,63280
86,2015,13-1071,Human Resources Specialists,detailed,491090,58350,63710
87,2015,13-1074,Farm Labor Contractors,detailed,1230,30910,43920
88,2015,13-1075,Labor Relations Specialists,detailed,79330,58820,60930
89,2015,13-1080,Logisticians,broad,133770,74260,77470
90,2015,13-1081,Logisticians,detailed,133770,74260,77470
91,2015,13-1110,Management Analysts,broad,614110,81320,91770
92,2015,13-1111,Management Analysts,detailed,614110,81320,91770
93,2015,13-1120,"Meeting, Convention, and Event Planners",broad,87400,46840,51200
94,2015,13-1121,"Meeting, Convention, and Event Planners",detailed,87400,46840,51200
95,2015,13-1130,Fundraisers,broad,62720,52970,57170
96,2015,13-1131,Fundraisers,detailed,62720,52970,57170
97,2015,13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,79780,60850,65100
98,2015,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,79780,60850,65100
99,2015,13-1150,Training and Development Specialists,broad,254060,58210,62460
100,2015,13-1151,Training and Development Specialists,detailed,254060,58210,62460
101,2015,13-1160,Market Research Analysts and Marketing Specialists,broad,506420,62150,70030
102,2015,13-1161,Market Research Analysts and Marketing Specialists,detailed,506420,62150,70030
103,2015,13-1190,Miscellaneous Business Operations Specialists,broad,926610,68170,73480
104,2015,13-1199,"Business Operations Specialists, All Other",detailed,926610,68170,73480
105,2015,13-2000,Financial Specialists,minor,2607760,67740,78730
106,2015,13-2010,Accountants and Auditors,broad,1226910,67190,75280
107,2015,13-2011,Accountants and Auditors,detailed,1226910,67190,75280
108,2015,13-2020,Appraisers and Assessors of Real Estate,broad,60290,51860,58400
109,2015,13-2021,Appraisers and Assessors of Real Estate,detailed,60290,51860,58400
110,2015,13-2030,Budget Analysts,broad,56300,71590,75150
111,2015,13-2031,Budget Analysts,detailed,56300,71590,75150
112,2015,13-2040,Credit Analysts,broad,70840,69680,79720
113,2015,13-2041,Credit Analysts,detailed,70840,69680,79720
114,2015,13-2050,Financial Analysts and Advisors,broad,555900,79350,99730
115,2015,13-2051,Financial Analysts,detailed,268360,80310,95320
116,2015,13-2052,Personal Financial Advisors,detailed,197580,89160,118050
117,2015,13-2053,Insurance Underwriters,detailed,89960,65040,72650
118,2015,13-2060,Financial Examiners,broad,44200,78010,88310
119,2015,13-2061,Financial Examiners,detailed,44200,78010,88310
120,2015,13-2070,Credit Counselors and Loan Officers,broad,334380,60910,72810
121,2015,13-2071,Credit Counselors,detailed,30510,43840,49310
122,2015,13-2072,Loan Officers,detailed,303870,63430,75170
123,2015,13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,131700,44840,50410
124,2015,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,59640,51430,57280
125,2015,13-2082,Tax Preparers,detailed,72060,36450,44730
126,2015,13-2090,Miscellaneous Financial Specialists,broad,127250,66670,72480
127,2015,13-2099,"Financial Specialists, All Other",detailed,127250,66670,72480
128,2015,15-0000,Computer and Mathematical Occupations,major,4005250,81430,86170
129,2015,15-1100,Computer Occupations,minor,3853860,81430,86090
130,2015,15-1110,Computer and Information Research Scientists,broad,25510,110620,115580
131,2015,15-1111,Computer and Information Research Scientists,detailed,25510,110620,115580
132,2015,15-1120,Computer and Information Analysts,broad,645550,86370,90600
133,2015,15-1121,Computer Systems Analysts,detailed,556660,85800,90180
134,2015,15-1122,Information Security Analysts,detailed,88880,90120,93250
135,2015,15-1130,Software Developers and Programmers,broad,1554960,94080,97930
136,2015,15-1131,Computer Programmers,detailed,289420,79530,84360
137,2015,15-1132,"Software Developers, Applications",detailed,747730,98260,102160
138,2015,15-1133,"Software Developers, Systems Software",detailed,390750,105570,108760
139,2015,15-1134,Web Developers,detailed,127070,64970,70660
140,2015,15-1140,Database and Systems Administrators and Network Architects,broad,634850,82780,87400
141,2015,15-1141,Database Administrators,detailed,113770,81710,84250
142,2015,15-1142,Network and Computer Systems Administrators,detailed,374480,77810,82200
143,2015,15-1143,Computer Network Architects,detailed,146600,100240,103100
144,2015,15-1150,Computer Support Specialists,broad,769630,51470,55980
145,2015,15-1151,Computer User Support Specialists,detailed,585060,48620,52430
146,2015,15-1152,Computer Network Support Specialists,detailed,184570,62250,67260
147,2015,15-1190,Miscellaneous Computer Occupations,broad,223370,85240,87310
148,2015,15-1199,"Computer Occupations, All Other",detailed,223370,85240,87310
149,2015,15-2000,Mathematical Science Occupations,minor,151380,81360,88040
150,2015,15-2010,Actuaries,broad,19770,97070,110560
151,2015,15-2011,Actuaries,detailed,19770,97070,110560
152,2015,15-2020,Mathematicians,broad,3170,111110,112560
153,2015,15-2021,Mathematicians,detailed,3170,111110,112560
154,2015,15-2030,Operations Research Analysts,broad,95860,78630,84180
155,2015,15-2031,Operations Research Analysts,detailed,95860,78630,84180
156,2015,15-2040,Statisticians,broad,29870,80110,84440
157,2015,15-2041,Statisticians,detailed,29870,80110,84440
158,2015,15-2090,Miscellaneous Mathematical Science Occupations,broad,2700,58580,70820
159,2015,15-2091,Mathematical Technicians,detailed,820,46600,53630
160,2015,15-2099,"Mathematical Science Occupations, All Other",detailed,1880,66210,78310
161,2015,17-0000,Architecture and Engineering Occupations,major,2475390,76870,82980
162,2015,17-1000,"Architects, Surveyors, and Cartographers",minor,168660,69130,74580
163,2015,17-1010,"Architects, Except Naval",broad,113550,74040,80370
164,2015,17-1011,"Architects, Except Landscape and Naval",detailed,93720,76100,82850
165,2015,17-1012,Landscape Architects,detailed,19820,63810,68600
166,2015,17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,55110,58920,62650
167,2015,17-1021,Cartographers and Photogrammetrists,detailed,11970,61880,65410
168,2015,17-1022,Surveyors,detailed,43140,58020,61880
169,2015,17-2000,Engineers,minor,1610480,90060,95240
170,2015,17-2010,Aerospace Engineers,broad,66980,107830,110570
171,2015,17-2011,Aerospace Engineers,detailed,66980,107830,110570
172,2015,17-2020,Agricultural Engineers,broad,2330,75090,78490
173,2015,17-2021,Agricultural Engineers,detailed,2330,75090,78490
174,2015,17-2030,Biomedical Engineers,broad,20890,86220,91230
175,2015,17-2031,Biomedical Engineers,detailed,20890,86220,91230
176,2015,17-2040,Chemical Engineers,broad,32230,97360,103960
177,2015,17-2041,Chemical Engineers,detailed,32230,97360,103960
178,2015,17-2050,Civil Engineers,broad,275210,82220,87940
179,2015,17-2051,Civil Engineers,detailed,275210,82220,87940
180,2015,17-2060,Computer Hardware Engineers,broad,75870,111730,114970
181,2015,17-2061,Computer Hardware Engineers,detailed,75870,111730,114970
182,2015,17-2070,Electrical and Electronics Engineers,broad,313970,95230,99520
183,2015,17-2071,Electrical Engineers,detailed,178580,93010,97340
184,2015,17-2072,"Electronics Engineers, Except Computer",detailed,135390,98270,102390
185,2015,17-2080,Environmental Engineers,broad,52600,84560,88040
186,2015,17-2081,Environmental Engineers,detailed,52600,84560,88040
187,2015,17-2110,"Industrial Engineers, Including Health and Safety",broad,272470,83570,87070
188,2015,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,24900,84600,87810
189,2015,17-2112,Industrial Engineers,detailed,247570,83470,86990
190,2015,17-2120,Marine Engineers and Naval Architects,broad,7600,93110,100090
191,2015,17-2121,Marine Engineers and Naval Architects,detailed,7600,93110,100090
192,2015,17-2130,Materials Engineers,broad,27040,91310,94690
193,2015,17-2131,Materials Engineers,detailed,27040,91310,94690
194,2015,17-2140,Mechanical Engineers,broad,278340,83590,88190
195,2015,17-2141,Mechanical Engineers,detailed,278340,83590,88190
196,2015,17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",broad,8000,94040,107880
197,2015,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,8000,94040,107880
198,2015,17-2160,Nuclear Engineers,broad,16880,102950,106060
199,2015,17-2161,Nuclear Engineers,detailed,16880,102950,106060
200,2015,17-2170,Petroleum Engineers,broad,34600,129990,149590
201,2015,17-2171,Petroleum Engineers,detailed,34600,129990,149590
202,2015,17-2190,Miscellaneous Engineers,broad,125460,95900,98150
203,2015,17-2199,"Engineers, All Other",detailed,125460,95900,98150
204,2015,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",minor,696250,54140,56650
205,2015,17-3010,Drafters,broad,205190,52720,55820
206,2015,17-3011,Architectural and Civil Drafters,detailed,95280,50710,53470
207,2015,17-3012,Electrical and Electronics Drafters,detailed,29200,59520,62890
208,2015,17-3013,Mechanical Drafters,detailed,65250,53520,56610
209,2015,17-3019,"Drafters, All Other",detailed,15470,49650,53660
210,2015,17-3020,"Engineering Technicians, Except Drafters",broad,437440,56450,58490
211,2015,17-3021,Aerospace Engineering and Operations Technicians,detailed,12890,66180,68620
212,2015,17-3022,Civil Engineering Technicians,detailed,71440,49260,51330
213,2015,17-3023,Electrical and Electronics Engineering Technicians,detailed,139080,61130,61870
214,2015,17-3024,Electro-Mechanical Technicians,detailed,14720,53340,56320
215,2015,17-3025,Environmental Engineering Technicians,detailed,17360,48650,51170
216,2015,17-3026,Industrial Engineering Technicians,detailed,62290,53780,56320
217,2015,17-3027,Mechanical Engineering Technicians,detailed,48910,53910,56390
218,2015,17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,70750,61260,62820
219,2015,17-3030,Surveying and Mapping Technicians,broad,53620,42010,44800
220,2015,17-3031,Surveying and Mapping Technicians,detailed,53620,42010,44800
221,2015,19-0000,"Life, Physical, and Social Science Occupations",major,1146110,62160,71220
222,2015,19-1000,Life Scientists,minor,281440,72090,81920
223,2015,19-1010,Agricultural and Food Scientists,broad,31700,62470,69230
224,2015,19-1011,Animal Scientists,detailed,2430,60390,71830
225,2015,19-1012,Food Scientists and Technologists,detailed,14660,65840,72030
226,2015,19-1013,Soil and Plant Scientists,detailed,14610,60050,65980
227,2015,19-1020,Biological Scientists,broad,101970,72220,79610
228,2015,19-1021,Biochemists and Biophysicists,detailed,30800,82150,93390
229,2015,19-1022,Microbiologists,detailed,21210,67550,76230
230,2015,19-1023,Zoologists and Wildlife Biologists,detailed,17910,59680,64230
231,2015,19-1029,"Biological Scientists, All Other",detailed,32050,75150,77190
232,2015,19-1030,Conservation Scientists and Foresters,broad,28790,60220,62860
233,2015,19-1031,Conservation Scientists,detailed,20200,61110,63800
234,2015,19-1032,Foresters,detailed,8590,58230,60650
235,2015,19-1040,Medical Scientists,broad,109900,81060,92900
236,2015,19-1041,Epidemiologists,detailed,5460,69450,76900
237,2015,19-1042,"Medical Scientists, Except Epidemiologists",detailed,104440,82240,93730
238,2015,19-1090,Miscellaneous Life Scientists,broad,9070,70550,79870
239,2015,19-1099,"Life Scientists, All Other",detailed,9070,70550,79870
240,2015,19-2000,Physical Scientists,minor,266060,76140,85180
241,2015,19-2010,Astronomers and Physicists,broad,17410,110980,117660
242,2015,19-2011,Astronomers,detailed,1760,104100,110220
243,2015,19-2012,Physicists,detailed,15650,111580,118500
244,2015,19-2020,Atmospheric and Space Scientists,broad,10370,89820,90210
245,2015,19-2021,Atmospheric and Space Scientists,detailed,10370,89820,90210
246,2015,19-2030,Chemists and Materials Scientists,broad,91520,72610,79130
247,2015,19-2031,Chemists,detailed,84720,71260,77860
248,2015,19-2032,Materials Scientists,detailed,6790,91000,94940
249,2015,19-2040,Environmental Scientists and Geoscientists,broad,125630,71740,82480
250,2015,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,87250,67460,73930
251,2015,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,31800,89700,105720
252,2015,19-2043,Hydrologists,detailed,6580,79550,83440
253,2015,19-2090,Miscellaneous Physical Scientists,broad,21130,97130,98240
254,2015,19-2099,"Physical Scientists, All Other",detailed,21130,97130,98240
255,2015,19-3000,Social Scientists and Related Workers,minor,239170,72570,78520
256,2015,19-3010,Economists,broad,19090,99180,109230
257,2015,19-3011,Economists,detailed,19090,99180,109230
258,2015,19-3020,Survey Researchers,broad,13650,53920,59340
259,2015,19-3022,Survey Researchers,detailed,13650,53920,59340
260,2015,19-3030,Psychologists,broad,118990,72580,77950
261,2015,19-3031,"Clinical, Counseling, and School Psychologists",detailed,105600,70580,76040
262,2015,19-3032,Industrial-Organizational Psychologists,detailed,990,77350,92320
263,2015,19-3039,"Psychologists, All Other",detailed,12400,94590,93050
264,2015,19-3040,Sociologists,broad,2620,73760,82100
265,2015,19-3041,Sociologists,detailed,2620,73760,82100
266,2015,19-3050,Urban and Regional Planners,broad,35480,68220,70680
267,2015,19-3051,Urban and Regional Planners,detailed,35480,68220,70680
268,2015,19-3090,Miscellaneous Social Scientists and Related Workers,broad,49340,74640,78790
269,2015,19-3091,Anthropologists and Archeologists,detailed,6980,61220,64290
270,2015,19-3092,Geographers,detailed,1280,74260,74920
271,2015,19-3093,Historians,detailed,3010,55800,61120
272,2015,19-3094,Political Scientists,detailed,3910,99730,103210
273,2015,19-3099,"Social Scientists and Related Workers, All Other",detailed,34160,76380,80650
274,2015,19-4000,"Life, Physical, and Social Science Technicians",minor,359440,43490,47640
275,2015,19-4010,Agricultural and Food Science Technicians,broad,20260,36480,39000
276,2015,19-4011,Agricultural and Food Science Technicians,detailed,20260,36480,39000
277,2015,19-4020,Biological Technicians,broad,72900,41650,45230
278,2015,19-4021,Biological Technicians,detailed,72900,41650,45230
279,2015,19-4030,Chemical Technicians,broad,64770,44660,48730
280,2015,19-4031,Chemical Technicians,detailed,64770,44660,48730
281,2015,19-4040,Geological and Petroleum Technicians,broad,16820,55610,60710
282,2015,19-4041,Geological and Petroleum Technicians,detailed,16820,55610,60710
283,2015,19-4050,Nuclear Technicians,broad,6500,80260,78850
284,2015,19-4051,Nuclear Technicians,detailed,6500,80260,78850
285,2015,19-4060,Social Science Research Assistants,broad,28060,42480,45760
286,2015,19-4061,Social Science Research Assistants,detailed,28060,42480,45760
287,2015,19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",broad,150140,43520,47040
288,2015,19-4091,"Environmental Science and Protection Technicians, Including Health",detailed,34250,43030,46540
289,2015,19-4092,Forensic Science Technicians,detailed,14070,56320,60090
290,2015,19-4093,Forest and Conservation Technicians,detailed,29810,35430,38260
291,2015,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,72020,45300,48360
292,2015,21-0000,Community and Social Service Occupations,major,1972140,42010,46160
293,2015,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",minor,1895770,42030,46170
294,2015,21-1010,Counselors,broad,628820,45160,48790
295,2015,21-1011,Substance Abuse and Behavioral Disorder Counselors,detailed,87090,39980,42920
296,2015,21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,253460,53660,56490
297,2015,21-1013,Marriage and Family Therapists,detailed,32070,48600,53520
298,2015,21-1014,Mental Health Counselors,detailed,128200,41880,45080
299,2015,21-1015,Rehabilitation Counselors,detailed,101630,34390,38040
300,2015,21-1019,"Counselors, All Other",detailed,26370,45530,47950
301,2015,21-1020,Social Workers,broad,619300,45900,49670
302,2015,21-1021,"Child, Family, and School Social Workers",detailed,294080,42350,46610
303,2015,21-1022,Healthcare Social Workers,detailed,155590,52380,54020
304,2015,21-1023,Mental Health and Substance Abuse Social Workers,detailed,110070,42170,47190
305,2015,21-1029,"Social Workers, All Other",detailed,59570,58560,57970
306,2015,21-1090,Miscellaneous Community and Social Service Specialists,broad,647650,36110,40270
307,2015,21-1091,Health Educators,detailed,57570,51960,56690
308,2015,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,87950,49360,54080
309,2015,21-1093,Social and Human Service Assistants,detailed,359350,30830,33190
310,2015,21-1094,Community Health Workers,detailed,48130,36300,40150
311,2015,21-1099,"Community and Social Service Specialists, All Other",detailed,94670,41890,44370
312,2015,21-2000,Religious Workers,minor,76370,41550,46020
313,2015,21-2010,Clergy,broad,48250,44250,48150
314,2015,21-2011,Clergy,detailed,48250,44250,48150
315,2015,21-2020,"Directors, Religious Activities and Education",broad,20280,38780,45160
316,2015,21-2021,"Directors, Religious Activities and Education",detailed,20280,38780,45160
317,2015,21-2090,Miscellaneous Religious Workers,broad,7840,28750,35160
318,2015,21-2099,"Religious Workers, All Other",detailed,7840,28750,35160
319,2015,23-0000,Legal Occupations,major,1062370,78170,103460
320,2015,23-1000,"Lawyers, Judges, and Related Workers",minor,672580,113120,132380
321,2015,23-1010,Lawyers and Judicial Law Clerks,broad,622590,114280,134710
322,2015,23-1011,Lawyers,detailed,609930,115820,136260
323,2015,23-1012,Judicial Law Clerks,detailed,12660,50740,59910
324,2015,23-1020,"Judges, Magistrates, and Other Judicial Workers",broad,49990,99870,103390
325,2015,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,14590,90600,93140
326,2015,23-1022,"Arbitrators, Mediators, and Conciliators",detailed,6380,58020,69060
327,2015,23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,29020,126930,116100
328,2015,23-2000,Legal Support Workers,minor,389790,48680,53550
329,2015,23-2010,Paralegals and Legal Assistants,broad,271930,48810,52390
330,2015,23-2011,Paralegals and Legal Assistants,detailed,271930,48810,52390
331,2015,23-2090,Miscellaneous Legal Support Workers,broad,117850,48310,56250
332,2015,23-2091,Court Reporters,detailed,17670,49500,54720
333,2015,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,54620,44370,49840
334,2015,23-2099,"Legal Support Workers, All Other",detailed,45570,53920,64530
335,2015,25-0000,"Education, Training, and Library Occupations",major,8542670,47220,53000
336,2015,25-1000,Postsecondary Teachers,minor,1531350,64450,77480
337,2015,25-1010,"Business Teachers, Postsecondary",broad,84890,75370,92220
338,2015,25-1011,"Business Teachers, Postsecondary",detailed,84890,75370,92220
339,2015,25-1020,"Math and Computer Teachers, Postsecondary",broad,87610,69990,80140
340,2015,25-1021,"Computer Science Teachers, Postsecondary",detailed,33760,74840,84700
341,2015,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,53850,67170,77290
342,2015,25-1030,"Engineering and Architecture Teachers, Postsecondary",broad,44610,91610,101040
343,2015,25-1031,"Architecture Teachers, Postsecondary",detailed,7340,73920,84880
344,2015,25-1032,"Engineering Teachers, Postsecondary",detailed,37270,95060,104220
345,2015,25-1040,"Life Sciences Teachers, Postsecondary",broad,62990,77960,88240
346,2015,25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,9680,90780,95280
347,2015,25-1042,"Biological Science Teachers, Postsecondary",detailed,51640,75320,86830
348,2015,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detailed,1660,88270,91030
349,2015,25-1050,"Physical Sciences Teachers, Postsecondary",broad,52200,79020,89840
350,2015,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,10890,83150,92540
351,2015,25-1052,"Chemistry Teachers, Postsecondary",detailed,21460,75060,86070
352,2015,25-1053,"Environmental Science Teachers, Postsecondary",detailed,5540,78770,88570
353,2015,25-1054,"Physics Teachers, Postsecondary",detailed,14310,82840,93950
354,2015,25-1060,"Social Sciences Teachers, Postsecondary",broad,116420,73490,84180
355,2015,25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,6000,77650,85440
356,2015,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,9240,72300,81700
357,2015,25-1063,"Economics Teachers, Postsecondary",detailed,13580,94000,106980
358,2015,25-1064,"Geography Teachers, Postsecondary",detailed,4350,75400,79690
359,2015,25-1065,"Political Science Teachers, Postsecondary",detailed,17460,76370,88680
360,2015,25-1066,"Psychology Teachers, Postsecondary",detailed,38380,70260,79370
361,2015,25-1067,"Sociology Teachers, Postsecondary",detailed,16160,69230,76750
362,2015,25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,11250,67490,79820
363,2015,25-1070,"Health Teachers, Postsecondary",broad,236290,81470,104470
364,2015,25-1071,"Health Specialties Teachers, Postsecondary",detailed,178900,90840,114510
365,2015,25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,57390,67480,73150
366,2015,25-1080,"Education and Library Science Teachers, Postsecondary",broad,65160,62040,68560
367,2015,25-1081,"Education Teachers, Postsecondary",detailed,60260,61560,68200
368,2015,25-1082,"Library Science Teachers, Postsecondary",detailed,4910,67660,73030
369,2015,25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",broad,42720,69240,89470
370,2015,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,14560,58770,64460
371,2015,25-1112,"Law Teachers, Postsecondary",detailed,16430,105250,126230
372,2015,25-1113,"Social Work Teachers, Postsecondary",detailed,11740,63390,69030
373,2015,25-1120,"Arts, Communications, and Humanities Teachers, Postsecondary",broad,280710,64120,73660
374,2015,25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,98310,65340,76710
375,2015,25-1122,"Communications Teachers, Postsecondary",detailed,29050,63410,70290
376,2015,25-1123,"English Language and Literature Teachers, Postsecondary",detailed,75730,61990,71210
377,2015,25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,30120,61380,69520
378,2015,25-1125,"History Teachers, Postsecondary",detailed,23680,69400,76670
379,2015,25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,23820,66380,75140
380,2015,25-1190,Miscellaneous Postsecondary Teachers,broad,457750,47780,55920
381,2015,25-1191,Graduate Teaching Assistants,detailed,125100,30810,32510
382,2015,25-1192,"Home Economics Teachers, Postsecondary",detailed,3650,64950,69090
383,2015,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,17980,59280,66090
384,2015,25-1194,"Vocational Education Teachers, Postsecondary",detailed,119800,49470,54260
385,2015,25-1199,"Postsecondary Teachers, All Other",detailed,191220,63000,71060
386,2015,25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",minor,4080100,53860,56370
