,location,age,degree_field,count
219,Iowa,All,Science and Engineering,"188,045"
220,Kansas,All,Science and Engineering,"191,897"
221,Kentucky,All,Science and Engineering,"222,447"
222,Louisiana,All,Science and Engineering,"220,335"
223,Maine,All,Science and Engineering,"107,153"
224,Maryland,All,Science and Engineering,"701,429"
225,Massachusetts,All,Science and Engineering,"876,504"
226,Michigan,All,Science and Engineering,"683,701"
227,Minnesota,All,Science and Engineering,"477,354"
228,Mississippi,All,Science and Engineering,"116,517"
229,Missouri,All,Science and Engineering,"372,223"
230,Montana,All,Science and Engineering,"85,111"
231,Nebraska,All,Science and Engineering,"116,803"
232,Nevada,All,Science and Engineering,"171,654"
233,New Hampshire,All,Science and Engineering,"138,681"
234,New Jersey,All,Science and Engineering,"933,506"
235,New Mexico,All,Science and Engineering,"148,083"
236,New York,All,Science and Engineering,"1,768,154"
237,North Carolina,All,Science and Engineering,"779,142"
238,North Dakota,All,Science and Engineering,"39,892"
239,Ohio,All,Science and Engineering,"714,095"
240,Oklahoma,All,Science and Engineering,"195,235"
241,Oregon,All,Science and Engineering,"406,662"
242,Pennsylvania,All,Science and Engineering,"975,226"
243,Rhode Island,All,Science and Engineering,"90,080"
244,South Carolina,All,Science and Engineering,"323,686"
245,South Dakota,All,Science and Engineering,"51,017"
246,Tennessee,All,Science and Engineering,"395,020"
247,Texas,All,Science and Engineering,"1,981,122"
248,Utah,All,Science and Engineering,"217,709"
249,Vermont,All,Science and Engineering,"65,716"
250,Virginia,All,Science and Engineering,"930,389"
251,Washington,All,Science and Engineering,"802,068"
252,West Virginia,All,Science and Engineering,"77,871"
253,Wisconsin,All,Science and Engineering,"394,005"
254,Wyoming,All,Science and Engineering,"40,118"
255,United States,25-39,Science and Engineering,"9,420,641"
256,Alabama,25-39,Science and Engineering,"84,617"
257,Alaska,25-39,Science and Engineering,"18,252"
258,Arizona,25-39,Science and Engineering,"165,610"
259,Arkansas,25-39,Science and Engineering,"51,968"
260,California,25-39,Science and Engineering,"1,466,738"
261,Colorado,25-39,Science and Engineering,"232,423"
262,Connecticut,25-39,Science and Engineering,"115,040"
263,Delaware,25-39,Science and Engineering,"23,536"
264,Florida,25-39,Science and Engineering,"446,179"
265,Georgia,25-39,Science and Engineering,"266,818"
266,Hawaii,25-39,Science and Engineering,"39,313"
267,Idaho,25-39,Science and Engineering,"35,101"
268,Illinois,25-39,Science and Engineering,"392,059"
269,Indiana,25-39,Science and Engineering,"133,950"
270,Iowa,25-39,Science and Engineering,"73,837"
271,Kansas,25-39,Science and Engineering,"70,673"
272,Kentucky,25-39,Science and Engineering,"83,330"
273,Louisiana,25-39,Science and Engineering,"86,595"
274,Maine,25-39,Science and Engineering,"31,944"
275,Maryland,25-39,Science and Engineering,"232,546"
276,Massachusetts,25-39,Science and Engineering,"333,556"
277,Michigan,25-39,Science and Engineering,"240,344"
278,Minnesota,25-39,Science and Engineering,"179,897"
279,Mississippi,25-39,Science and Engineering,"40,985"
280,Missouri,25-39,Science and Engineering,"135,720"
281,Montana,25-39,Science and Engineering,"28,336"
282,Nebraska,25-39,Science and Engineering,"47,778"
283,Nevada,25-39,Science and Engineering,"56,224"
284,New Hampshire,25-39,Science and Engineering,"40,523"
285,New Jersey,25-39,Science and Engineering,"317,991"
286,New Mexico,25-39,Science and Engineering,"45,140"
287,New York,25-39,Science and Engineering,"685,413"
288,North Carolina,25-39,Science and Engineering,"270,110"
289,North Dakota,25-39,Science and Engineering,"17,447"
290,Ohio,25-39,Science and Engineering,"262,092"
291,Oklahoma,25-39,Science and Engineering,"69,160"
292,Oregon,25-39,Science and Engineering,"143,413"
293,Pennsylvania,25-39,Science and Engineering,"358,316"
294,Rhode Island,25-39,Science and Engineering,"32,433"
295,South Carolina,25-39,Science and Engineering,"104,681"
296,South Dakota,25-39,Science and Engineering,"18,300"
297,Tennessee,25-39,Science and Engineering,"142,633"
298,Texas,25-39,Science and Engineering,"774,815"
299,Utah,25-39,Science and Engineering,"87,288"
300,Vermont,25-39,Science and Engineering,"20,253"
301,Virginia,25-39,Science and Engineering,"333,350"
302,Washington,25-39,Science and Engineering,"315,276"
303,West Virginia,25-39,Science and Engineering,"27,049"
304,Wisconsin,25-39,Science and Engineering,"146,733"
305,Wyoming,25-39,Science and Engineering,"12,283"
306,United States,40-64,Science and Engineering,"11,678,761"
307,Alabama,40-64,Science and Engineering,"117,143"
308,Alaska,40-64,Science and Engineering,"26,372"
309,Arizona,40-64,Science and Engineering,"210,675"
310,Arkansas,40-64,Science and Engineering,"58,817"
311,California,40-64,Science and Engineering,"1,705,187"
312,Colorado,40-64,Science and Engineering,"286,318"
313,Connecticut,40-64,Science and Engineering,"176,456"
314,Delaware,40-64,Science and Engineering,"34,800"
315,Florida,40-64,Science and Engineering,"651,650"
316,Georgia,40-64,Science and Engineering,"350,247"
317,Hawaii,40-64,Science and Engineering,"55,351"
318,Idaho,40-64,Science and Engineering,"49,633"
319,Illinois,40-64,Science and Engineering,"465,564"
320,Indiana,40-64,Science and Engineering,"161,095"
321,Iowa,40-64,Science and Engineering,"82,464"
322,Kansas,40-64,Science and Engineering,"85,822"
323,Kentucky,40-64,Science and Engineering,"101,385"
324,Louisiana,40-64,Science and Engineering,"93,089"
325,Maine,40-64,Science and Engineering,"47,215"
326,Maryland,40-64,Science and Engineering,"341,255"
327,Massachusetts,40-64,Science and Engineering,"399,250"
328,Michigan,40-64,Science and Engineering,"319,351"
329,Minnesota,40-64,Science and Engineering,"219,892"
330,Mississippi,40-64,Science and Engineering,"52,414"
331,Missouri,40-64,Science and Engineering,"167,798"
332,Montana,40-64,Science and Engineering,"37,054"
333,Nebraska,40-64,Science and Engineering,"50,465"
334,Nevada,40-64,Science and Engineering,"73,358"
335,New Hampshire,40-64,Science and Engineering,"68,699"
336,New Jersey,40-64,Science and Engineering,"464,107"
337,New Mexico,40-64,Science and Engineering,"64,454"
338,New York,40-64,Science and Engineering,"769,839"
339,North Carolina,40-64,Science and Engineering,"369,609"
340,North Dakota,40-64,Science and Engineering,"16,503"
341,Ohio,40-64,Science and Engineering,"325,375"
342,Oklahoma,40-64,Science and Engineering,"86,327"
343,Oregon,40-64,Science and Engineering,"180,238"
344,Pennsylvania,40-64,Science and Engineering,"439,652"
345,Rhode Island,40-64,Science and Engineering,"40,285"
346,South Carolina,40-64,Science and Engineering,"144,130"
347,South Dakota,40-64,Science and Engineering,"22,646"
348,Tennessee,40-64,Science and Engineering,"179,751"
349,Texas,40-64,Science and Engineering,"902,795"
350,Utah,40-64,Science and Engineering,"92,556"
351,Vermont,40-64,Science and Engineering,"30,652"
352,Virginia,40-64,Science and Engineering,"440,476"
353,Washington,40-64,Science and Engineering,"343,405"
354,West Virginia,40-64,Science and Engineering,"34,734"
355,Wisconsin,40-64,Science and Engineering,"178,905"
356,Wyoming,40-64,Science and Engineering,"17,730"
357,United States,65+,Science and Engineering,"4,743,811"
358,Alabama,65+,Science and Engineering,"54,513"
359,Alaska,65+,Science and Engineering,"10,780"
360,Arizona,65+,Science and Engineering,"117,303"
361,Arkansas,65+,Science and Engineering,"30,013"
362,California,65+,Science and Engineering,"688,004"
363,Colorado,65+,Science and Engineering,"111,912"
364,Connecticut,65+,Science and Engineering,"69,170"
365,Delaware,65+,Science and Engineering,"17,870"
366,Florida,65+,Science and Engineering,"387,049"
367,Georgia,65+,Science and Engineering,"115,068"
368,Hawaii,65+,Science and Engineering,"28,838"
369,Idaho,65+,Science and Engineering,"25,973"
370,Illinois,65+,Science and Engineering,"163,496"
371,Indiana,65+,Science and Engineering,"59,639"
372,Iowa,65+,Science and Engineering,"31,744"
373,Kansas,65+,Science and Engineering,"35,402"
374,Kentucky,65+,Science and Engineering,"37,732"
375,Louisiana,65+,Science and Engineering,"40,651"
376,Maine,65+,Science and Engineering,"27,994"
377,Maryland,65+,Science and Engineering,"127,628"
378,Massachusetts,65+,Science and Engineering,"143,698"
379,Michigan,65+,Science and Engineering,"124,006"
380,Minnesota,65+,Science and Engineering,"77,565"
381,Mississippi,65+,Science and Engineering,"23,118"
382,Missouri,65+,Science and Engineering,"68,705"
383,Montana,65+,Science and Engineering,"19,721"
384,Nebraska,65+,Science and Engineering,"18,560"
385,Nevada,65+,Science and Engineering,"42,072"
386,New Hampshire,65+,Science and Engineering,"29,459"
387,New Jersey,65+,Science and Engineering,"151,408"
388,New Mexico,65+,Science and Engineering,"38,489"
389,New York,65+,Science and Engineering,"312,902"
390,North Carolina,65+,Science and Engineering,"139,423"
391,North Dakota,65+,Science and Engineering,"5,942"
392,Ohio,65+,Science and Engineering,"126,628"
393,Oklahoma,65+,Science and Engineering,"39,748"
394,Oregon,65+,Science and Engineering,"83,011"
395,Pennsylvania,65+,Science and Engineering,"177,258"
396,Rhode Island,65+,Science and Engineering,"17,362"
397,South Carolina,65+,Science and Engineering,"74,875"
398,South Dakota,65+,Science and Engineering,"10,071"
399,Tennessee,65+,Science and Engineering,"72,636"
400,Texas,65+,Science and Engineering,"303,512"
401,Utah,65+,Science and Engineering,"37,865"
402,Vermont,65+,Science and Engineering,"14,811"
403,Virginia,65+,Science and Engineering,"156,563"
404,Washington,65+,Science and Engineering,"143,387"
405,West Virginia,65+,Science and Engineering,"16,088"
406,Wisconsin,65+,Science and Engineering,"68,367"
407,Wyoming,65+,Science and Engineering,"10,105"
408,United States,All,Science and Engineering Related Fields,"7,090,542"
409,Alabama,All,Science and Engineering Related Fields,"94,361"
410,Alaska,All,Science and Engineering Related Fields,"15,873"
411,Arizona,All,Science and Engineering Related Fields,"147,631"
412,Arkansas,All,Science and Engineering Related Fields,"55,168"
413,California,All,Science and Engineering Related Fields,"751,629"
414,Colorado,All,Science and Engineering Related Fields,"134,607"
415,Connecticut,All,Science and Engineering Related Fields,"88,307"
416,Delaware,All,Science and Engineering Related Fields,"21,086"
417,Florida,All,Science and Engineering Related Fields,"500,917"
418,Georgia,All,Science and Engineering Related Fields,"214,879"
419,Hawaii,All,Science and Engineering Related Fields,"32,520"
420,Idaho,All,Science and Engineering Related Fields,"38,076"
421,Illinois,All,Science and Engineering Related Fields,"303,303"
422,Indiana,All,Science and Engineering Related Fields,"153,233"
423,Iowa,All,Science and Engineering Related Fields,"61,567"
424,Kansas,All,Science and Engineering Related Fields,"70,241"
425,Kentucky,All,Science and Engineering Related Fields,"89,782"
426,Louisiana,All,Science and Engineering Related Fields,"96,488"
427,Maine,All,Science and Engineering Related Fields,"34,458"
428,Maryland,All,Science and Engineering Related Fields,"150,910"
429,Massachusetts,All,Science and Engineering Related Fields,"181,286"
430,Michigan,All,Science and Engineering Related Fields,"227,887"
431,Minnesota,All,Science and Engineering Related Fields,"138,348"
432,Mississippi,All,Science and Engineering Related Fields,"59,209"
433,Missouri,All,Science and Engineering Related Fields,"131,481"
434,Montana,All,Science and Engineering Related Fields,"26,507"
